,Unnamed: 0,h,V,C,x,y,Y
548,548,5GY,3,8,0.38,0.631,4.61
549,549,7.5GY,3,2,0.314,0.365,6.13
550,550,7.5GY,3,4,0.319,0.434,5.55
551,551,7.5GY,3,6,0.323,0.543,4.89
552,552,7.5GY,3,8,0.319,0.609,4.52
553,553,7.5GY,3,10,0.31,0.67,4.23
554,554,10GY,3,2,0.305,0.361,6.07
555,555,10GY,3,4,0.297,0.422,5.51
556,556,10GY,3,6,0.282,0.516,4.82
557,557,10GY,3,8,0.27,0.573,4.46
558,558,10GY,3,10,0.254,0.629,4.15
559,559,10GY,3,12,0.235,0.68,3.88
560,560,10GY,3,14,0.212,0.627,3.64
561,561,10GY,3,16,0.188,0.773,3.42
562,562,2.5G,3,0,0.31,0.316,6.55
563,563,2.5G,3,2,0.297,0.356,6.01
564,564,2.5G,3,4,0.277,0.406,5.46
565,565,2.5G,3,6,0.244,0.473,4.82
566,566,2.5G,3,8,0.22,0.518,4.43
567,567,2.5G,3,10,0.194,0.559,4.12
568,568,2.5G,3,12,0.167,0.599,3.81
569,569,2.5G,3,14,0.139,0.639,3.58
570,570,2.5G,3,16,0.11,0.679,3.38
571,571,2.5G,3,18,0.081,0.717,3.2
572,572,2.5G,3,20,0.051,0.756,3.02
573,573,5G,3,2,0.291,0.35,6.01
574,574,5G,3,4,0.263,0.391,5.41
575,575,5G,3,6,0.221,0.441,4.79
576,576,5G,3,8,0.188,0.476,4.37
577,577,5G,3,10,0.156,0.506,4.07
578,578,5G,3,12,0.12,0.537,3.77
579,579,5G,3,14,0.085,0.565,3.53
580,580,5G,3,16,0.049,0.596,3.3
581,581,5G,3,18,0.012,0.625,3.09
582,582,7.5G,3,2,0.285,0.343,5.96
583,583,7.5G,3,4,0.25,0.375,5.38
584,584,7.5G,3,6,0.203,0.412,4.79
585,585,7.5G,3,8,0.165,0.437,4.34
586,586,7.5G,3,10,0.129,0.461,4.02
587,587,7.5G,3,12,0.089,0.475,3.72
588,588,7.5G,3,14,0.05,0.498,3.45
589,589,7.5G,3,16,0.01,0.531,3.24
590,590,10G,3,2,0.278,0.335,5.96
591,591,10G,3,4,0.238,0.356,5.33
592,592,10G,3,6,0.19,0.379,4.71
593,593,10G,3,8,0.149,0.396,4.31
594,594,10G,3,10,0.109,0.412,3.97
595,595,10G,3,12,0.069,0.427,3.7
596,596,10G,3,14,0.022,0.443,3.42
597,597,2.5BG,3,0,0.31,0.316,6.55
598,598,2.5BG,3,2,0.273,0.325,5.91
599,599,2.5BG,3,4,0.234,0.332,5.24
600,600,2.5BG,3,6,0.181,0.338,4.71
601,601,2.5BG,3,8,0.137,0.341,4.29
602,602,2.5BG,3,10,0.093,0.344,3.93
603,603,2.5BG,3,12,0.051,0.345,3.64
604,604,5BG,3,2,0.27,0.315,5.85
605,605,5BG,3,4,0.226,0.312,5.24
606,606,5BG,3,6,0.181,0.307,4.71
607,607,5BG,3,8,0.139,0.301,4.31
608,608,5BG,3,10,0.098,0.293,3.97
609,609,5BG,3,12,0.057,0.284,3.68
610,610,7.5BG,3,2,0.27,0.307,5.8
611,611,7.5BG,3,4,0.228,0.296,5.2
612,612,7.5BG,3,6,0.188,0.282,4.75
613,613,7.5BG,3,8,0.151,0.267,4.34
614,614,7.5BG,3,10,0.118,0.254,4.07
615,615,7.5BG,3,12,0.086,0.239,3.81
616,616,7.5BG,3,14,0.059,0.277,3.64
617,617,10BG,3,2,0.27,0.301,5.8
618,618,10BG,3,4,0.233,0.283,5.2
619,619,10BG,3,6,0.198,0.264,4.79
620,620,10BG,3,8,0.167,0.246,4.43
621,621,10BG,3,10,0.141,0.229,4.15
622,622,10BG,3,12,0.115,0.212,3.93
623,623,10BG,3,14,0.092,0.196,3.74
624,624,10BG,3,16,0.068,0.178,3.56
625,625,2.5B,3,0,0.31,0.316,6.55
626,626,2.5B,3,2,0.272,0.297,5.8
627,627,2.5B,3,4,0.237,0.276,5.2
628,628,2.5B,3,6,0.206,0.254,4.79
629,629,2.5B,3,8,0.179,0.234,4.46
630,630,2.5B,3,10,0.157,0.216,4.2
631,631,2.5B,3,12,0.136,0.198,3.97
632,632,2.5B,3,14,0.115,0.179,3.79
633,633,2.5B,3,16,0.095,0.16,3.6
634,634,5B,3,2,0.273,0.293,5.8
635,635,5B,3,4,0.241,0.269,5.2
636,636,5B,3,6,0.213,0.247,4.79
637,637,5B,3,8,0.19,0.226,4.46
638,638,5B,3,10,0.17,0.208,4.23
639,639,5B,3,12,0.15,0.189,4.02
640,640,5B,3,14,0.131,0.17,3.81
641,641,5B,3,16,0.112,0.151,3.64
642,642,5B,3,18,0.095,0.132,3.47
643,643,7.5B,3,2,0.276,0.289,5.75
644,644,7.5B,3,4,0.246,0.264,5.2
645,645,7.5B,3,6,0.221,0.241,4.79
646,646,7.5B,3,8,0.2,0.219,4.49
647,647,7.5B,3,10,0.182,0.201,4.29
648,648,7.5B,3,12,0.164,0.182,4.02
649,649,7.5B,3,14,0.147,0.162,3.83
650,650,7.5B,3,16,0.129,0.143,3.66
651,651,7.5B,3,18,0.112,0.124,3.49
652,652,10B,3,2,0.278,0.287,5.75
653,653,10B,3,4,0.251,0.259,5.2
654,654,10B,3,6,0.228,0.236,4.79
655,655,10B,3,8,0.209,0.214,4.49
656,656,10B,3,10,0.192,0.196,4.29
657,657,10B,3,12,0.176,0.177,4.04
658,658,10B,3,14,0.159,0.158,3.85
659,659,10B,3,16,0.142,0.138,3.68
660,660,10B,3,18,0.125,0.119,3.51
661,661,10B,3,20,0.111,0.101,3.36
662,662,2.5PB,3,0,0.31,0.316,6.55
663,663,2.5PB,3,2,0.281,0.284,5.75
664,664,2.5PB,3,4,0.256,0.256,5.2
665,665,2.5PB,3,6,0.235,0.232,4.79
666,666,2.5PB,3,8,0.216,0.21,4.49
667,667,2.5PB,3,10,0.201,0.192,4.29
668,668,2.5PB,3,12,0.186,0.173,4.04
669,669,2.5PB,3,14,0.171,0.153,3.85
670,670,2.5PB,3,16,0.155,0.133,3.68
671,671,2.5PB,3,18,0.141,0.114,3.53
672,672,2.5PB,3,20,0.128,0.095,3.38
673,673,2.5PB,3,22,0.115,0.077,3.26
674,674,5PB,3,2,0.284,0.282,5.7
675,675,5PB,3,4,0.262,0.252,5.16
676,676,5PB,3,6,0.245,0.226,4.79
677,677,5PB,3,8,0.229,0.205,4.49
678,678,5PB,3,10,0.216,0.186,4.29
679,679,5PB,3,12,0.203,0.166,4.07
680,680,5PB,3,14,0.19,0.148,3.88
681,681,5PB,3,16,0.178,0.127,3.72
682,682,5PB,3,18,0.166,0.107,3.55
683,683,5PB,3,20,0.155,0.089,3.4
684,684,5PB,3,22,0.144,0.07,3.28
685,685,5PB,3,24,0.133,0.051,3.17
686,686,7.5PB,3,2,0.288,0.28,5.7
687,687,7.5PB,3,4,0.27,0.249,5.16
688,688,7.5PB,3,6,0.255,0.223,4.75
689,689,7.5PB,3,8,0.242,0.2,4.46
690,690,7.5PB,3,10,0.232,0.181,4.29
691,691,7.5PB,3,12,0.222,0.161,4.07
692,692,7.5PB,3,14,0.212,0.143,3.9
693,693,7.5PB,3,16,0.202,0.122,3.72
694,694,7.5PB,3,18,0.192,0.102,3.56
695,695,7.5PB,3,20,0.183,0.083,3.42
696,696,7.5PB,3,22,0.175,0.065,3.3
697,697,7.5PB,3,24,0.168,0.045,3.18
698,698,10PB,3,2,0.292,0.278,5.7
699,699,10PB,3,4,0.277,0.247,5.12
700,700,10PB,3,6,0.265,0.22,4.75
701,701,10PB,3,8,0.255,0.197,4.46
702,702,10PB,3,10,0.247,0.178,4.25
703,703,10PB,3,12,0.239,0.158,4.04
704,704,10PB,3,14,0.231,0.14,3.9
705,705,10PB,3,16,0.223,0.12,3.72
706,706,10PB,3,18,0.216,0.1,3.56
707,707,10PB,3,20,0.209,0.081,3.42
708,708,10PB,3,22,0.202,0.061,3.3
